#geography multi word dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#	   5) Removed information present in  ( ) Ex:Advective thunder storm aBivahanI wadZIw JaMJA (aBivAhI wadZiw JaMJA)
			to advective_thunder_storm	aBivahanI_wadZIw_JaMJA
#################################################################################
air-earth_current	vAyu-pqWvI_vixyuwXArA#vAyu-pqWvI_vixyuwXArA#noun#2#RM
air-mass_climatology	vAyuya_saMhawi_jalavAyu-vijFAna/vAyu_saMhawi_jalavAyukI#vAyuya_saMhawi_jalavAyu-vijFAna/vAyu_saMhawi_jalavAyukI#noun#2#RM
air-photo_analysis	vAyuPoto_viSleRaNa#vAyuPoto_viSleRaNa#noun#2#RM
air-photo_camera	vAyu_Poto_kEmarA#vAyu_Poto_kEmarA#noun#2#RM
air-photo_reading	vAyuPoto_aXyayana#vAyuPoto_aXyayana#noun#2#RM
air-photo_triangulation	vAyuPoto_wriBujana#vAyuPoto_wriBujana#noun#2#RM
air_age	vimAna_yuga/vimAna_yugIya#vimAna_yuga/vimAna_yugIya#noun#2#RM
air_almanac	vAyupaMcAMga#vAyupaMcAMga#noun#2#RM
air_bell	vAyu_GaMtikA#vAyu_GaMtikA#noun#2#RM
air_bombing_range	havAI_bamavarRaNa_reMja#havAI_bamavarRaNa_reMja#noun#3#RM
air_carrier	vAhaka_vimAna#vAhaka_vimAna#noun#2#RM
air_chart	vimAna-cAlana_cArta#vimAna-cAlana_cArta#noun#2#RM
air_circulation	vAyu-parisaMcalana#vAyu-parisaMcalana#noun#2#RM
air_corridor	vAyu-koYridara#vAyu-koYridara#noun#2#RM
air_discharge	vAyu_visarjana#vAyu_visarjana#noun#2#RM
air_drainage	vAyu-nikAsa/vAyu_apavAha#vAyu-nikAsa/vAyu_apavAha#noun#2#RM
air_dried_soil	vAyu_SuRka_mqxA#vAyu_SuRka_mqxA#noun#3#RM
air_endurance	vAyu_kRamawA#vAyu_kRamawA#noun#2#RM
air_entraining_agent	vAyu_ArohI_karmaka#vAyu_ArohI_karmaka#noun#3#RM
air_excess_factor	vAyu_bAhulya_guNaka#vAyu_bAhulya_guNaka#noun#3#RM
air_express	eyara_eksapresa#eyara_eksapresa#noun#2#RM
air_field	vimAna_kRewra#vimAna_kRewra#noun#2#RM
air_frame	vAyuPrema#vAyuPrema#noun#2#RM
air_freight	vAyu_vahana#vAyu_vahana#noun#2#RM
air_frost	wuRAra_vAyu#wuRAra_vAyu#noun#2#RM
air_glow	vAyuxIpwi#vAyuxIpwi#noun#2#RM
air_layer_map	vAyuswarIya_mAnaciwra#vAyuswarIya_mAnaciwra#noun#3#RM
air_lift	vAyava_uwWApana/vimAna_vahana#vAyava_uwWApana/vimAna_vahana#noun#2#RM
air_line	vAyu_spektrama_reKA/vimAna_kampanI/eyara_lAina#vAyu_spektrama_reKA/vimAna_kampanI/eyara_lAina#noun#2#RM
air_log	vAyuyAwrAmApI#vAyuyAwrAmApI#noun#2#RM
air_mail_paper	havAI_dAka_kAgaja#havAI_dAka_kAgaja#noun#3#RM
air_mapping	vAyu-mAnaciwraNa#vAyu-mAnaciwraNa#noun#2#RM
air_mass	vAyurASi/vAyusaMhawi#vAyurASi/vAyusaMhawi#noun#2#RM
air_mass_analysis	vAyu_rASi_viSleRaNa#vAyu_rASi_viSleRaNa#noun#3#RM
air_mass_classification	vAyurASi_vargIkaraNa#vAyurASi_vargIkaraNa#noun#3#RM
air_mass_climatology	vAyusaMhawi_jalavAyuvijFAna#vAyusaMhawi_jalavAyuvijFAna#noun#3#RM
air_mass_shower	vAyurASi_bOCAra#vAyurASi_bOCAra#noun#3#RM
air_mass_source_region	vAyurASi_srowa_kRewra#vAyurASi_srowa_kRewra#noun#4#RM
air_mass_thunder_storm	vAyurASi_wadZiw_JaMJA#vAyurASi_wadZiw_JaMJA#noun#4#RM
air_meter	vAyu_mApI#vAyu_mApI#noun#2#RM
