#computer science multi word dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#	   5) Removed information present in  ( ) Ex:Advective thunder storm aBivahanI wadZIw JaMJA (aBivAhI wadZiw JaMJA)
			to advective_thunder_storm	aBivahanI_wadZIw_JaMJA
#################################################################################
alternation_(_=_or_operation_)	aWavA'_saMkriyA#aWavA'_saMkriyA#noun#5#RM
alternative_attribute	vEkalpika_guNa#vEkalpika_guNa#noun#2#RM
alternative_denial_(_=_not-and_operation_)	waWA_pUraka'_saMkriyA#waWA_pUraka'_saMkriyA#noun#6#RM
ambiguity_error	saMxigXawA_wruti#saMxigXawA_wruti#noun#2#RM
ambiguous_reference	saMxigXawA_saMrxaBa#saMxigXawA_saMrxaBa#noun#2#RM
analog_adder	anurUpa_yojaka#anurUpa_yojaka#noun#2#RM
analog_channel	anurUpa_praNAla#anurUpa_praNAla#noun#2#RM
analog_computer	anurUpa_aBikaliwra#anurUpa_aBikaliwra#noun#2#RM
analog_converter	anurUpa_parivarwaka#anurUpa_parivarwaka#noun#2#RM
analog_data	anurUpa_AzkadZe#anurUpa_AzkadZe#noun#2#RM
analog_divider	anurUpa_viBAjanI#anurUpa_viBAjanI#noun#2#RM
analog_facility_terminal	anurUpa_suviXA_tarminala#anurUpa_suviXA_tarminala#noun#3#RM
analog_function_generator	anurUpa_Palana_janaka#anurUpa_Palana_janaka#noun#3#RM
analog_integration	anurUpa_samAkalana#anurUpa_samAkalana#noun#2#RM
analog_multiplier	anurUpa_guNaka#anurUpa_guNaka#noun#2#RM
analog_programming	anurUpa_kramAxeSana#anurUpa_kramAxeSana#noun#2#RM
analog_scaling	anurUpa_mApana#anurUpa_mApana#noun#2#RM
analog_signal	anurUpa_saMkewa#anurUpa_saMkewa#noun#2#RM
analog_simulation	anurUpa_anukAra#anurUpa_anukAra#noun#2#RM
analog_switch	anurUpa_svica#anurUpa_svica#noun#2#RM
analog_system	anurUpa_waMwra#anurUpa_waMwra#noun#2#RM
analog_to_digital_converter	anurUpa_aMkIya_parivarwaka#anurUpa_aMkIya_parivarwaka#noun#4#RM
analog_to_digital_encoder	anurUpa_aMkIyakUtaleKaka#anurUpa_aMkIyakUtaleKaka#noun#4#RM
analog_transmission	anurUpa_saMcaraNa#anurUpa_saMcaraNa#noun#2#RM
analog_type	anurUpa_prakAra#anurUpa_prakAra#noun#2#RM
analysis_block	viSleRaNa_KaMdZaka#viSleRaNa_KaMdZaka#noun#2#RM
analysis_mode	viSleRaNa_viXA#viSleRaNa_viXA#noun#2#RM
analytical_engine	vESleRika_iMjana#vESleRika_iMjana#noun#2#RM
ancestral_task	pUrvaja_kArya#pUrvaja_kArya#noun#2#RM
ancillary_equipment	sahAyaka_upakaraNa#sahAyaka_upakaraNa#noun#2#RM
and_circuit	waWA'_paripaWa#waWA'_paripaWa#noun#2#RM
and_element	waWA'_avayava#waWA'_avayava#noun#2#RM
and_gate	waWA'_xvAra#waWA'_xvAra#noun#2#RM
and_masking	waWA'_pracCAxana#waWA'_pracCAxana#noun#2#RM
and_not_operation_(_=exclusion	apavarjana#apavarjana#noun#5#RM
and_operation	waWA'_saMkriyA#waWA'_saMkriyA#noun#2#RM
annex_memory	cayaka_smqwi#cayaka_smqwi#noun#2#RM
answer_back	wurawa_uwwara#wurawa_uwwara#noun#2#RM
answer_delay	uwwara_vilaMba#uwwara_vilaMba#noun#2#RM
answer_lamp	uwwara_bawwI#uwwara_bawwI#noun#2#RM
answer_list	uwwara_sUcI#uwwara_sUcI#noun#2#RM
answer_only	kevala_uwwara#kevala_uwwara#noun#2#RM
answering_time	uwwara_kAla#uwwara_kAla#noun#2#RM
anticipation_mode	prawyASA_viXA#prawyASA_viXA#noun#2#RM
anticipatory_buffering	prawyASAmUlaka_cayakana#prawyASAmUlaka_cayakana#noun#2#RM
anticipatory_carry	prawyASAmUlaka_hAsila#prawyASAmUlaka_hAsila#noun#2#RM
anticipatory_paging	prawyASAmUlaka_pqRTana#prawyASAmUlaka_pqRTana#noun#2#RM
anticoincidence_operation	prawisaMpAwI_saMkriyA#prawisaMpAwI_saMkriyA#noun#2#RM
anticoincident_element	prawisaMpAwI_avayava#prawisaMpAwI_avayava#noun#2#RM
aperiodic_antenna	anAvarwI_EntenA#anAvarwI_EntenA#noun#2#RM
aperture_card	xvAraka_pawraka#xvAraka_pawraka#noun#2#RM
aperture_code	xvAraka_kUta#xvAraka_kUta#noun#2#RM
aperture_time	xvAraka_kAla#xvAraka_kAla#noun#2#RM
appendage_task	anubaMXa_kArya#anubaMXa_kArya#noun#2#RM
application_developer	anuprayoga_vikAsaka#anuprayoga_vikAsaka#noun#2#RM
application_layer	anuprayoga_swara#anuprayoga_swara#noun#2#RM
application_oriented_language	anuprayoga_mUlaka_BARA#anuprayoga_mUlaka_BARA#noun#3#RM
application_package	anuprayoga_saMkula#anuprayoga_saMkula#noun#2#RM
application_program	anuprayoga_kramAxeSa#anuprayoga_kramAxeSa#noun#2#RM
application_programming	anuprayoga_kramAxeSana#anuprayoga_kramAxeSana#noun#2#RM
application_required_language	anuprayoga_apekRiwa_BARA#anuprayoga_apekRiwa_BARA#noun#3#RM
application_software	anuprayoga_prakriyA_sAmagrI#anuprayoga_prakriyA_sAmagrI#noun#2#RM
approximation_theory	sannikatana_sixXAMwa#sannikatana_sixXAMwa#noun#2#RM
arbitrary_access	svecCa_aBigama#svecCa_aBigama#noun#2#RM
arbitrary_sequence_computer	svecCa_anukrama_aBikaliwra#svecCa_anukrama_aBikaliwra#noun#3#RM
area_code	kRewra_kUta#kRewra_kUta#noun#2#RM
area_search	kRewra_Koja#kRewra_Koja#noun#2#RM
area_transfer	kRewra_sWAnAMwaraNa#kRewra_sWAnAMwaraNa#noun#2#RM
area_variable	kRewra_cara#kRewra_cara#noun#2#RM
argument_address	svawaMwra_cara_pawA#svawaMwra_cara_pawA#noun#2#RM
argument_list	svawaMwra_cara_sUcI#svawaMwra_cara_sUcI#noun#2#RM
arithmetic_and_logic_unit	aMka_gaNiwIya_eMva_warka_ekaka#aMka_gaNiwIya_eMva_warka_ekaka#noun#4#RM
arithmetic_assignment_statement	aMkagaNiwIya_niyawana_kaWana#aMkagaNiwIya_niyawana_kaWana#noun#3#RM
arithmetic_check	aMkagaNiwIya_jAzca#aMkagaNiwIya_jAzca#noun#2#RM
arithmetic_constant	aMkagaNiwIya_acara#aMkagaNiwIya_acara#noun#2#RM
arithmetic_conversion	aMkagaNiwIya_rUpAMwara#aMkagaNiwIya_rUpAMwara#noun#2#RM
arithmetic_data	aMkagaNiwIya_AzkadZe#aMkagaNiwIya_AzkadZe#noun#2#RM
arithmetic_exception	aMkagaNiwIya_apavAxa#aMkagaNiwIya_apavAxa#noun#2#RM
arithmetic_expression	aMkagaNiwIya_vyaMjaka#aMkagaNiwIya_vyaMjaka#noun#2#RM
arithmetic_fixed_point	aMkagaNiwIya_niyawa_binxu#aMkagaNiwIya_niyawa_binxu#noun#3#RM
arithmetic_hierarchy	aMkagaNiwIya_paxAnukrama#aMkagaNiwIya_paxAnukrama#noun#2#RM
arithmetic_if_statement	aMkagaNiwIya_'yaxi'_kaWana#aMkagaNiwIya_'yaxi'_kaWana#noun#3#RM
arithmetic_logic	aMkagaNiwIya_warka#aMkagaNiwIya_warka#noun#2#RM
arithmetic_logic_unit	aMkagaNiwIya_warka_ekaka#aMkagaNiwIya_warka_ekaka#noun#3#RM
arithmetic_operation	aMkagaNiwIya_saMkriyA#aMkagaNiwIya_saMkriyA#noun#2#RM
arithmetic_operator	aMkagaNiwIya_saMkAraka#aMkagaNiwIya_saMkAraka#noun#2#RM
arithmetic_overflow	aMkagaNiwIya_aXipravAha#aMkagaNiwIya_aXipravAha#noun#2#RM
arithmetic_picture_data	aMkagaNiwIya_ciwra_AzkadZe#aMkagaNiwIya_ciwra_AzkadZe#noun#3#RM
arithmetic_precedence	aMkagaNiwIya_pUrvawA#aMkagaNiwIya_pUrvawA#noun#2#RM
arithmetic_primary	aMkagaNiwIya_prAWamika_avayava#aMkagaNiwIya_prAWamika_avayava#noun#2#RM
arithmetic_register	aMkagaNiwIya_paMjI#aMkagaNiwIya_paMjI#noun#2#RM
