#space multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#################################################################################
a._c._conductivity	e.sI._cAlakawA#e.sI._cAlakawA#noun#3#RM
aerial_photograph_composite	havAI_PZoto_sammiSra#havAI_PZoto_sammiSra#noun#3#RM
aerial_photography	havAI_PZotogrAPZI#havAI_PZotogrAPZI#noun#2#RM
aerial_reconnaissance	havAI_AvIkRaNa#havAI_AvIkRaNa#noun#2#RM
aerial_survey	havAI_sarvekRaNa#havAI_sarvekRaNa#noun#2#RM
aerial_view	havAI_xarSa#havAI_xarSa#noun#2#RM
aerodynamic_axis	vAyugawika_akRa#vAyugawika_akRa#noun#2#RM
aerodynamic_balance	vAyugawika_saMwulana#vAyugawika_saMwulana#noun#2#RM
aerodynamic_behaviour	vAyugawika_vyavahAra#vAyugawika_vyavahAra#noun#2#RM
aerodynamic_brake	vAyugawika_breka#vAyugawika_breka#noun#2#RM
aerodynamic_centre	vAyugawika_keMxra#vAyugawika_keMxra#noun#2#RM
aerodynamic_coefficient	vAyugawika_guNAMka#vAyugawika_guNAMka#noun#2#RM
aerodynamic_configuration	vAyugawika_vinyAsa#vAyugawika_vinyAsa#noun#2#RM
aerodynamic_course	vAyugawika_krama#vAyugawika_krama#noun#2#RM
aerodynamic_drag	vAyugawika_karRaNa#vAyugawika_karRaNa#noun#2#RM
aerodynamic_force	vAyugawika_bala#vAyugawika_bala#noun#2#RM
aerodynamic_heat	vAyugawika_URmA#vAyugawika_URmA#noun#2#RM
aerodynamic_lift	vAyugawika_uTAva#vAyugawika_uTAva#noun#2#RM
aerodynamic_load	vAyugawika_BAra#vAyugawika_BAra#noun#2#RM
aerodynamic_moment	vAyugawika_AGUrNa#vAyugawika_AGUrNa#noun#2#RM
aerodynamic_noise	vAyugawika_rava#vAyugawika_rava#noun#2#RM
aerodynamic_operator	vAyugawika_pracAlaka#vAyugawika_pracAlaka#noun#2#RM
aerodynamic_stability	vAyugawika_sWAyiwva#vAyugawika_sWAyiwva#noun#2#RM
aerodynamic_vehicle	vAyugawika_yAna#vAyugawika_yAna#noun#2#RM
aeroelastic_stability	vAyuprawyAsWa_sWAyiwva#vAyuprawyAsWa_sWAyiwva#noun#2#RM
aeromagnetic_surveying	havAI_cuMbakIya_sarvekRaNa#havAI_cuMbakIya_sarvekRaNa#noun#2#RM
aerosol_characteristics	ErosoYEYEYEYla_aBilakRaNa#ErosoYEYEYEYla_aBilakRaNa#noun#2#RM
aerosol_investigate	ErosoYEYEYEYla_jAzca#ErosoYEYEYEYla_jAzca#noun#2#RM
aerospace_engineering	vAMwarikRa_iMjIniyarI#vAMwarikRa_iMjIniyarI#noun#2#RM
aerospace_vehicle	vAMwarikRa_yAna#vAMwarikRa_yAna#noun#2#RM
after_body	pucCapiMda#pucCapiMda#noun#2#RM
after_burner	aXijvAlaka#aXijvAlaka#noun#2#RM
after_burning	aXijvalana#aXijvalana#noun#2#RM
after_glow	paSca_xIpwi#paSca_xIpwi#noun#2#RM
after_heat	paSca_wApa#paSca_wApa#noun#2#RM
aggregate_bandwidth	samuccaya_bEMda_viswAra#samuccaya_bEMda_viswAra#noun#2#RM
aggregate_rate	samuccaya_xara#samuccaya_xara#noun#2#RM
aging_test	kAla_praBAvana_parIkRaNa#kAla_praBAvana_parIkRaNa#noun#2#RM
agitated_film	prakRoBiwa_PLlma#prakRoBiwa_PLlma#noun#2#RM
agitated_jacketed_kettle_evaporator	prakRoBiwa_jEketa_kewalI_vARpiwra#prakRoBiwa_jEketa_kewalI_vARpiwra#noun#4#RM
agitated_pan_drier	prakRoBiwa_katahA_SuRkaka#prakRoBiwa_katahA_SuRkaka#noun#3#RM
agitated_vessel	prakRoBiwa_pAwra#prakRoBiwa_pAwra#noun#2#RM
agonic_line	SUnyaxikpAwI_reKA#SUnyaxikpAwI_reKA#noun#2#RM
agrarian_society	Kewihara_samAja#Kewihara_samAja#noun#2#RM
aileron_buzz	sahapakRa_bajZa/sahapakRa_guMjana#sahapakRa_bajZa/sahapakRa_guMjana#noun#2#RM
aileron_effectiveness	sahapakRa_praBAviwA#sahapakRa_praBAviwA#noun#2#RM
aileron_reversal	sahapakRa_uwkramaNa#sahapakRa_uwkramaNa#noun#2#RM
air-based_data	havAI_AMkadZe#havAI_AMkadZe#noun#2#RM
air-driven_turbine	vAyucAliwa_tarabAina#vAyucAliwa_tarabAina#noun#2#RM
air_almanac	vAyupaMcAMga#vAyupaMcAMga#noun#2#RM
air_base	eyara_besa#eyara_besa#noun#2#RM
air_bearing	vAyu_beyariMga/havAI_beyariMga#vAyu_beyariMga/havAI_beyariMga#noun#2#RM
air_breather	vAyuSvAsI#vAyuSvAsI#noun#2#RM
air_breathing	vAyuSvasana#vAyuSvasana#noun#2#RM
air_capacitor	vAyu_saMXAriwra#vAyu_saMXAriwra#noun#2#RM
air_circuit_breaker	vAyu_paripaWa_vicCexaka#vAyu_paripaWa_vicCexaka#noun#3#RM
air_circulation	vAyu_parisaMcaraNa#vAyu_parisaMcaraNa#noun#2#RM
air_classifier	vAyu_vargIkAraka#vAyu_vargIkAraka#noun#2#RM
air_composition	vAyu_saMGatana#vAyu_saMGatana#noun#2#RM
air_conditioning	vAwAnukUlana#vAwAnukUlana#noun#2#RM
air_damping_system	vAyu_avamaMxana_waMwra_vAyu_PLltara#vAyu_avamaMxana_waMwra_vAyu_PLltara#noun#3#RM
air_filter_air_force	vAyubala#vAyubala#noun#4#RM
air_glow	vAyu_xIpwi#vAyu_xIpwi#noun#2#RM
air_handling_unit	vAyu_saMsAXana_ekaka#vAyu_saMsAXana_ekaka#noun#3#RM
air_leakage	vAyu_risAva/kRaraNa#vAyu_risAva/kRaraNa#noun#2#RM
air_lock	vAyu_wAlaka#vAyu_wAlaka#noun#2#RM
air_mapping	havAI_mAnaciwraNa#havAI_mAnaciwraNa#noun#2#RM
air_mass	vAyu_saMhawi#vAyu_saMhawi#noun#2#RM
air_photo	havAI_PZoto#havAI_PZoto#noun#2#RM
air_photo_analysis	havAI_PZoto_viSleRaNa#havAI_PZoto_viSleRaNa#noun#3#RM
air_photogrammetry	havAI_PZotogrAmiwi#havAI_PZotogrAmiwi#noun#2#RM
air_position_indicator	havAI_sWiwi_sUcaka#havAI_sWiwi_sUcaka#noun#3#RM
air_pressure	vAyu_xAba#vAyu_xAba#noun#2#RM
air_profile	havAI_paricCexikA#havAI_paricCexikA#noun#2#RM
air_ratio	vAyu_anupAwa#vAyu_anupAwa#noun#2#RM
air_resistance	vAyu_prawiroXa#vAyu_prawiroXa#noun#2#RM
air_sampling	vAyu_prawicayana#vAyu_prawicayana#noun#2#RM
air_sealed	vAyu_ruxXa#vAyu_ruxXa#noun#2#RM
air_tight	vAyuroXI/havAbaMxa#vAyuroXI/havAbaMxa#noun#2#RM
air_turbulence	vAyu_prakRoBa#vAyu_prakRoBa#noun#2#RM
air_weapon	havAI_aswra#havAI_aswra#noun#2#RM
airborne_radar	havAI_radAra#havAI_radAra#noun#2#RM
airborne_survey	havAI_sarvekRaNa#havAI_sarvekRaNa#noun#2#RM
aircraft-based_sensor	vAyuyAna-AXAriwa_saMvexaka#vAyuyAna-AXAriwa_saMvexaka#noun#2#RM
aircraft_antenna	vAyuyAna_EntenA#vAyuyAna_EntenA#noun#2#RM
aircraft_end	vAyuyAna_Cora#vAyuyAna_Cora#noun#2#RM
aircraft_rocket_engine	vAyuyAna_rAketa_iMjana#vAyuyAna_rAketa_iMjana#noun#3#RM
aircraft_rocket_motor	vAyuyAna_rAketa_motara#vAyuyAna_rAketa_motara#noun#3#RM
aircraft_warning_lamp	vAyuyAna_cewAvanI_xIpa#vAyuyAna_cewAvanI_xIpa#noun#3#RM
algebraic_expression_languages_compiler	bIjIya_vyaMjaka_BARA_anuBARaka#bIjIya_vyaMjaka_BARA_anuBARaka#noun#4#RM
algol_language	elgoYla_BARA#elgoYla_BARA#noun#2#RM
algorithmetic_language	kalana_viXi_BARA#kalana_viXi_BARA#noun#2#RM
alignment_chart	saMreKaNa_cArta#saMreKaNa_cArta#noun#2#RM
alignment_mark	saMreKaNa_cihna#saMreKaNa_cihna#noun#2#RM
alignment_problem	saMreKaNa_samasyA#saMreKaNa_samasyA#noun#2#RM
