usa_jagaha	vahAz/usa_jagaha
Ahiswe-Ahiswe	XIre-XIre/XIre_XIre/Ahiswe-Ahiswe/AhiswA-AhiswA/hOle-hOle/hole-hole/raPwA-raPwA/alpaSaH
paraseMta	prawiSawa/PZIsaxI/PIsaxI/paraseMta
aXorXa	Upara-nIce/aXoraXa/aXorXa/aXOrxXa
saccI_muccI	vAkaI/vAkZaI/vAswava_meM/hakIkawana/hakZIkZawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
baKErIyawa	sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKZEra/baKEra/baKZErIya/baKErIyawa/surakRiwawaH
saca-saca	saca-saca
kaBI_nahIM	kaBI_nahIM
sAWa_hI_sAWa	sAWa-sAWa/sAWa_hI/sAWa_hI_sAWa/sAWa/eka_sAWa/ikatTA/ikajora/ekawra/ikawra
anumAnawaH	aMxAjana/aMxAjZana/anxAjZana/anxAjana/lagaBaga/wakZarIbana/wakarIbana/kZarIba/karIba/karIbakarIba/karIbana/kZarIbakZarIba/kZarIbana/anumAnawaH/anakZarIba/anakarIba/waKZamInana/aMxAja_se/ukavAz
pAsa_padZosa	Asa-pAsa/AsapAsa/agala-bagala/agZala-bagZala/AjU-bAjU/irxa-girxa/adZosa-padZosa/pAsa-padZosa/pAsa_padZosa
svagawa	svagawa
bevakwa	kusamaya/gZalawa_vakZwa_para/asamaya/bevakZwa/galawa_vakwa_para/bevakwa/bemOke/asamaya/bevakZwa/bevakwa/gZalawa_samaya_para/galawa_samaya_para/bemOke
POrana	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
bahuwa_hI	awyaMwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKZwa/saKwa/jamakara/mahA/nihAyawa/cUdZAMwa/cUdZAnwa/aByaXika/Agara
saByawaH	SiRtawaH/saByawaH/bAsaUra/SAlInawaH/SiRtAcArapUrvaka/salIkZe_se
ulatA-palatA	ulatA-pulatA/ulatA_pulatA/ulatA-palatA/ultA-paltA/ultA-pultA/ultA_pultA
avera-savera	xera-savera/avera-savera
Ajakala	PilahAla/PZilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/saMprawi
saccI-muccI	vAkaI/vAkZaI/vAswava_meM/hakIkawana/hakZIkZawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
aWa	bAxa/bAxa_meM/paScAw/uparAMwa/anaMwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa/aBI/PZilahAla/PilahAla/isa_samaya/aba/aWa/aXunA/saMprawi/samprawi/aBU/aBE
