##Added by Roja (04-05-12)
##Physics Compound Dictionary .d
##Extracted from 'Class11_Physics2_Glossary_NCERT_TextBook_HindiEdition.pdf'
#physics_word   Hindi_word_in_wx
##############################################################################
framework_noun	DAzcA
anticlockwise_adjective	vAmAvarwa
clockwise_adjective	xakRiNAvarwa
couple_noun	balayugma
centroid_noun	keMxraka
fulcrum_noun	AlaMba
lamina_noun	patala
orientation_noun	aBivinyAsa
torque_noun	bala_AGUrNa
theorem_noun	prameya
tension_noun	wanAva
tangential_adjective	sparSa_reKIya
altitude_noun	UzcAI
artificial_adjective	kqwrima
boulder_noun	SilAKaMda/KaMdASya
berry_noun	rasaBarI
constellations_noun	wArAmaMdala
centripetal_adjective	keMxrABimuKI
communication_noun	saMpreRaNa
epicycle_noun	aXicakra
ellipse_noun	xIrGavqwwa
elevator_noun	liPta
foci_noun	nABi
geocentric_adjective	BUkeMxrI
geostationary_adjective	BUsWEwika
geosynchronous_adjective	BUsamakAlika
hemisphere_noun	arXagolIya
hyperbola_noun	awiparivalaya
identity_noun	wAxamya
inverse_noun	vyuwkrama
jupiter_noun	bqhaspawi
latitude_noun	akRAMSa
mars_noun	maMgala
mercury_noun	buXa
orbit_noun	kakRA
periodicity_noun	AvarwiwA
pluto_noun	plUto
superposition_noun	aXyAropaNa
venus_noun	Sukra
weightlessness_noun	BArahInawA
weight_noun	BAra
separation_noun	pqWakana
overlapping_noun	awivyApana
power_noun	GAwAMka
inaccurate_adjective	asArWaka
macromolecule_noun	vqhaxaNu
inter-dispersed_adjective	aMwarparikRipwa
amorphous_adjective	akristalIya
crystallite_noun	kristalANu
strain_noun	vikqwi(aparUpaNa)
picturisation_noun	ciwrAMkana
brittle_noun	BaMgura
ductile_adjective	AGAwavaXrya
operational_noun	kriyAwmaka
twist_noun	vyAvarwana(EMTana)
hydraulic_adjective	cala_xravIya
composite_noun	miSriwa
atmospheric_adjective	vAyumaMdalIya
aerodynamics_adjective	vAyugawikI
efflux_noun	bahiHsrAva
equivalent_noun	wulyAMka
bubble_noun	bulabulA
fluid_noun	warala
floatation_noun	plavana
calibrated_adjective	aMSAMkiwa
compressible_adjective	saMpIdya
capillary_noun	keSikA
device_noun	yukwi
irrotational_noun	aGUrNI
turbulence_noun	prakRoBa
constitution_noun	saMracanA
diffusion_noun	visaraNa
diatomic_adjective	xvi-paramANuka
equipartition_noun	samaviBAjana
hypothesis_noun	parikalpanA
molar_noun	aNuka
monatomic_adjective	eka-paramANuka
microscope_noun	sUkRmaxarSI
manifestation_noun	AvirBAva
polyatomic_adjective	bahu-paramANuka
telescope_noun	xUrabIna/xUraxarSI/xUraxarSaka
thermal_adjective	URmIya
heat_noun	URmA
surroundings(of the system)_noun	prawiveSa	
isothermal_adjective	samawApIya
adiabatic_adjective	ruxXoRma
phases(solid,liquid,gas)_noun	prAvasWAez
infinitesimal_noun	anaMwa_sUkRma
co-existence_noun	saha-aswiwva
reservoir(of heat)_noun	URmASaya
sink(of heat)_noun	aBigama
refrigerator_noun	praSIwaka
asymmetry_noun	asamamiwi
semi-static_adjective	arXa_sWira
absorbed_adjective	avaSoRiwa
thermometry_noun	wApamiwi
thermocouple_noun	wApayugma
incompressibility_noun	asaMpIdyawA
condensed_noun	saMGaniwa
approximation_noun	sannikatana
calorimeter_noun	uQRmAmApI/kElorImItara
thermostat_noun	wApasWAyI
distinct_adjective	suspaRta
isotherm_noun	samawApa_reKA
quasi-static_adjective	sWEwikakalpa
isochoric_adjective	samaAyawanika
conduction_noun	saMcaraNa
convection_noun	saMvahana
radiation_noun	vikiraNa
sink(of heat)_aBigama	heat)
refrigerator_noun	praSIwaka
asymmetry_noun	asamamiwi
semi-static_adjective	arXa_sWira
absorbed_adjective	avaSoRiwa
thermometry_noun	wApamiwi
thermocouple_noun	wApayugma
incompressibility_noun	asaMpIdyawA
condensed_noun	saMGaniwa
approximation_noun	sannikatana
calorimeter_noun	uQRmAmApI/kElorImItara
thermostat_noun	wApasWAyI
distinct_adjective	suspaRta
isotherm_noun	samawApa_reKA
conduction_noun	saMcaraNa
convection_noun	saMvahana
radiation_noun	vikiraNa
Maxwell_noun	mEksavela
Newton_noun	nyUtana
electromagnetic_adjective	vExyuwacumbakIya/vExyuwa_cumbakIya
dispersion_noun	parikRepaNa/vikRepaNa
wavelength_noun	warafgaxErGya
transmit_verb	preRiwa
retina_noun	xqRti_patala
#dimension_noun	vima
relative_noun	ApekRa
electromagnetism_noun	vixyuwa_cumbakawva
velocity-time_noun	vega_samaya
velocity-position_noun	vega_sWiwi 
position-time_noun	sWiwi_samaya
negative_adjective	qNAwmaka
