#physics_word	Hindi_word_in_wx
###################################################################################
sliding_friction	sarpI_GarRaNa#sarpI_GarRaNa#noun#2#RM
limiting_value	sImAMwa_mAna#sImAMwa_mAna#noun#2#RM
rolling_friction	lotanika_GarRaNa#lotanika_GarRaNa#noun#2#RM
accelerated_frame	wvariwa_Prema#wvariwa_Prema#noun#2#RM
coriolis_force	korioYlisa_bala#korioYlisa_bala#noun#2#RM
absolute_rest	nirapekRa_virAma#nirapekRa_virAma#noun#2#RM#WM
combustion_gas	xahanaSIla_gEsa#xahanaSIla_gEsa#noun#2#RM
ejected_gas	niRkAsiwa_gEsa#niRkAsiwa_gEsa#noun#2#RM
free_body_diagram	bala_nirxeSaka_AreKa#bala_nirxeSaka_AreKa#noun#3#RM
internal_energy	AMwarika_UrjA#AMwarika_UrjA#noun#2#RM
recoilless_emission	prawikRepahIna_uwsarjana#prawikRepahIna_uwsarjana#noun#2#RM
angular_momentum	koNIya_saMvega#koNIya_saMvega#noun#2#RM
angular_acceleration	koNIya_wvaraNa#koNIya_wvaraNa#noun#2#RM
areal_velocity	kRewrIya_vega#kRewrIya_vega#noun#2#RM
axis_of_symmetry	samamiwa_akRa#samamiwa_akRa#noun#1#RM
binary_system	xviaMgI_nikAya#xviaMgI_nikAya#noun#2#RM
fly_wheel	gawipAlaka_cakra#gawipAlaka_cakra#noun#2#RM
lever_arm	uwwolaka-BujA#uwwolaka-BujA#noun#2#RM
line_of_contact	saMParva_reKA#saMParva_reKA#noun#1#RM
moment_of_inertia	jadZawvAGUrNa#jadZawvAGUrNa#noun#1#RM
rigid_body	xqDZa_vaswu#xqDZa_vaswu#noun#2#RM
radius_of_gyration	pariBramaNa_wrijyA#pariBramaNa_wrijyA#noun#1#RM
rotational_kinetic_energy	GUrNIya_gawija_UrjA#GUrNIya_gawija_UrjA#noun#2#RM
axial_rotation	akRIya_GUrNana#akRIya_GUrNana#noun#2#RM
black_hole	kqRNa_vivara#kqRNa_vivara#noun#2#WM
black_body	kqRNikA#kqRNikA#noun#2#RM
binding_energy	baMXana_UrjA#baMXana_UrjA#noun#2#RM
coordinate_system	nirxeSAMka_nikAya#nirxeSAMka_nikAya#noun#2#WM
data_base	AMkadZe#AMkadZe#noun#2#RM
equational_bulge	BUmaXyavarwI_uBAra#BUmaXyavarwI_uBAra#noun#2#RM
escape_speed	palAyana_cAla#palAyana_cAla#noun#2#RM
universal_law	sArvawrika_niyama#sArvawrika_niyama#noun#2#RM
internal_structure	AMwarika_saMracanA#AMwarika_saMracanA#noun#2#RM
characteristic_properties	aBilAkRaNika_guNa#aBilAkRaNika_guNa#noun#2#RM
building_blocks	imArawI_KaMda#imArawI_KaMda#noun#2#RM
machanics_of_fluids	warala_yAMwrikI#warala_yAMwrikI#noun#1#RM#WM
semi-crystalline_solid	aMSa_kristalIya_Tosa#aMSa_kristalIya_Tosa#noun#3#RM
common_to_two	uBayaniRTa#uBayaniRTa#noun#1#WM
common_to_all	sarvaniRTa#sarvaniRTa#noun#1#WM
experimental_sample	parIkRaNa_nixarSa(prAxarSa)#parIkRaNa_nixarSa(prAxarSa)#noun#2#RM
yield_point	parABava_biMxu#parABava_biMxu#noun#2#RM
yield_strength	parABava_sAmarWya#parABava_sAmarWya#noun#2#RM
ultimate_strength	carama_sAmarWya#carama_sAmarWya#noun#2#RM
tensile_strength	wanana_sAmarWya#wanana_sAmarWya#noun#2#RM
plastic_region	suGatya_kRewra#suGatya_kRewra#noun#2#RM
elastic_hysteresis	prawyAsWa_SEWilya#prawyAsWa_SEWilya#noun#2#RM
fluid_dynamics	waralagawikI#waralagawikI#noun#2#WM
gauge_pressure	gejZA_xAba#gejZA_xAba#noun#2#RM
streamline_flow	XArAreKI_pravAha#XArAreKI_pravAha#noun#2#RM
surface_tension	pqRTa_wanAva#pqRTa_wanAva#noun#2#RM
surface_energy	pqRTa_uQrjA#pqRTa_uQrjA#noun#2#RM
terminal_velocity	aMwima_vega#aMwima_vega#noun#2#RM
degree_of_freedom	svAwaMwrya-koti#svAwaMwrya-koti#noun#1#RM
mean_free_path	Osawamukwa_paWa#Osawamukwa_paWa#noun#3#RM
phase_transition	prAvasWA_saMkramaNa#prAvasWA_saMkramaNa#noun#2#RM
pollen_grain	parAga_kaNa#parAga_kaNa#noun#2#RM
root_mean_square_speed	varga-mAXyamUla_cAla#varga-mAXyamUla_cAla#noun#4#RM
rigid_rotator	xqDZa-GUrNI#xqDZa-GUrNI#noun#2#RM
specific_heat	viSiRta_URmA#viSiRta_URmA#noun#2#RM
vibrational_energy	kaMpanIya_UrjA#kaMpanIya_UrjA#noun#2#RM
zig_zag	teDAZ-meDAZ#teDAZ-meDAZ#noun#2#WM
absolute_scale_of_temperature	parama_wApa_mAPavrama#parama_wApa_mAPavrama#noun#2#RM
absolute_zero	parama_SUnya#parama_SUnya#noun#2#RM
ideal_gas	AxarSa_gEsa#AxarSa_gEsa#noun#2#RM
coefficient_of_linear_expansion	reKIya_prasAra_guNAMka#reKIya_prasAra_guNAMka#noun#1#RM
coefficient_of_volume_expansion	Ayawana_prasAra_guNAMka#Ayawana_prasAra_guNAMka#noun#1#RM
law_of_equipartition_of_energy	UrjA_ke_samaviBAjana_kA_niyama#UrjA_ke_samaviBAjana_kA_niyama#noun#1#RM
equilibrium_line	sAmya_reKA#sAmya_reKA#noun#2#RM#WM
mechanical_equilibrium	yAMwrika_sAmyawA#yAMwrika_sAmyawA#noun#2#RM#WM
thermal_equilibrium	URmIya_sAmyawA#URmIya_sAmyawA#noun#2#RM#WM
coefficient_of_performance	niRpAxana_guNAMka#niRpAxana_guNAMka#noun#1#RM
idealised_reversible_process	AxarSIkqwa_uwkramaNIya_prakrama#AxarSIkqwa_uwkramaNIya_prakrama#noun#3#RM
conservative_force	akRayakArI_bala#akRayakArI_bala#noun#2#RM
carnot_engine	kArno_iMjana#kArno_iMjana#noun#2#RM
carnot_cycle	kArno_cakra#kArno_cakra#noun#2#RM
dissipative_force	kRayakArI_bala#kRayakArI_bala#noun#2#RM
microscopic_constituent	sUkRma_saMGataka#sUkRma_saMGataka#noun#2#RM
thermal_capacity	URmAXAriwA#URmAXAriwA#noun#2#RM
heat_capacity	URmAXAriwA#URmAXAriwA#noun#2#RM
boiling_point	kvaWanAMka#kvaWanAMka#noun#2#RM
melting_point	galanAMka#galanAMka#noun#2#RM
heat_insulator	URmAroXI#URmAroXI#noun#2#RM
adiabatic_wall	ruXxoRma_Biwwi(xIvAra)#ruXxoRma_Biwwi(xIvAra)#noun#2#RM
thermal_expansion	URmIya_prasAra#URmIya_prasAra#noun#2#RM
constant_volume_thermometer	sWira_Ayawana_wApamApI#sWira_Ayawana_wApamApI#noun#3#WM
young's_modulus	yaMga_guNAMka/yaMga_prawyAsWawA_guNAMka#yaMga_guNAMka/yaMga_prawyAsWawA_guNAMka#noun#2#WM
thermal_stress	URmIya_prawibala#URmIya_prawibala#noun#2#RM
compressive_strain	saMpIdana_vikqwi#saMpIdana_vikqwi#noun#2#RM
cross_section	anuprasWa_kAta#anuprasWa_kAta#noun#2#RM
molar_specific_heat	molIya_viSiRta_URmA#molIya_viSiRta_URmA#noun#3#RM
kelvin_scale	kelvina_mApakrama#kelvina_mApakrama#noun#2#RM
principal_axis	muKya_akRa#muKya_akRa#noun#2#RM
point_of_view	xqRti#xqRti#noun#1#RM
of_course	vAswava_meM#vAswava_meM#noun#2#RM#WM
force_of_gravity	guruwva_bala#guruwva_bala#noun#1#RM
reaction_force	aBilamba_bala#aBilamba_bala#noun#2#RM
