#civil dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a.i.r.a.c._noun	e.AI.Ara.e.sI.
exit_noun	nirgama
exonerate_noun	Aropa-mukwa_karanA
exosphere_noun	bAhyawama_maMdala
expand_noun	viswAra
expatriates_noun	vixeSI
expedient_noun	samIcIna
expenditure_noun	vyaya/Karca
explicit_noun	spaRta
exploder_noun	visPotiwra
exploitation_noun	xohana/SoRaNa
explosive_noun	visPotaka
exponent_noun	prawipAxaka/prawiniXi
expulsion_noun	niRkAsana/bahiRkaraNa/nikAla_xenA
eyelet_noun	akRikA
fabricate_noun	gaDZanA
facilitate_noun	Age_baDZAnA/sarala_banAnA
facility_noun	suviXA/sugamawA
fad_noun	Jaka/sanaka
fading_noun	prabalawA_vicaraNa/maMxana
failure_noun	KarAbI/BaMga/viPalawA
fan_noun	paMKA
faucet_noun	laGutoMtI
feathering_noun	paMKaraNa/viswaraNa/SUnya_praNoxana
federal_noun	keMxrIya_SAsana_se_saMbaMXiwa
filament_noun	xIpwi-waMwu/waMwu
fin_noun	paMKa
financing_noun	viwwa_poRaNa/viwwa_vyavasWA
finding_noun	Koja/nirNaya/jAMca_pariNAma/niRkarRa
findings_noun	niRkarRa_pariNAma
flap_noun	pallA
flaps_noun	prAlaMba
flat_noun	patiyA/capatA/capita
fleet_noun	vimAna-bedZA/bedZA
flick_noun	JatakA
fluidity_noun	waralawA
flush_noun	samawala/sapAta
fog_noun	koharA
foot_noun	pAxa/Puta
footboard_noun	pAyaxAna/Puta_borda
forecasting_noun	pUrvAnumAna_lagAnA
forfeit_noun	jabwa_karanA
foxtrot_noun	PoYkstrota
fracto-stratus_noun	KaNdiwa_swarI
fraud_noun	kapata/kapata_kArya
freight_noun	mAla-BAdZA/BAdZA
fund_noun	niXi/koRa
gadget_noun	yaMwrikA/maSIna
gage_noun	geja/pramApI
gale_noun	JaMJA
gallery_noun	gElarI/xIrGA
galling_noun	gaMBIra_KaroMcanA
galvanise_noun	jaswA_caDZAnA/yaSaxa_lepana
garage_noun	gErAja
gauze_noun	nAlI
gazette_noun	rAjapawra/gajata
gear_noun	giyara/garArI/yaMwrAvalI_(damabIMxapeu)/upaskara_(msamabajawapabaMsa)
generator_noun	janiwra/jenaretara
getter_noun	grAhI/avaSoRI
girder_noun	gardara
girdle_noun	meKalA
glacier_noun	himanaxa/himAnI
glider_noun	glAidara
golf_noun	golPa
governor_noun	gavarnara/aXiniyaMwraka
grade_noun	greda/SreNI
gradienter_noun	DAla_mApaka/pravaNawA_mApaka
grants_noun	anuxAna
gratification_noun	pariwoRaNa
gratuitous_noun	Anugrahika/muPwa/binA_prawiPala
gratuity_noun	upaxAna/grecyUtI
grease_noun	grIja
grievances_noun	SikAyaweM
grinding_noun	apaGarRaNa
groove_noun	KAMcA
grooving_noun	KAMcA_banAnA
guarantee_noun	prawyABUwi
guardian_noun	aBiBAvaka/saMrakRaka
gudgeon-pin_noun	gajana_pina
guidelines_noun	xiSA-_nirxeSa
guilty_noun	xoRI
gyroplane_noun	GUrNAkRa_vimAna/jAyaroplena/GUrNAkRawala
hail_noun	olA/karakA/karakApAwa
hall_noun	Gara/mahala/saBAgqha/kakRa
hammer_noun	Gana/haWOdZA
handle_noun	xaswA/mUTa/hawWA
hangar_noun	vimAnaSAlA/vimAnagqha/hEMgara
hanger_noun	mahAcCaxa/Alamya/hEMgara/vimAna_Caxa
hardenability_noun	kaToraNIyawA
hardware_noun	yaMwropaxAna/lOha_Axi_mAla_sAmAna
haze_noun	XunXa
header_noun	wodZA/muKyaka
heading_noun	hediMga/SIrRa
headway_noun	maXyAMwara/yAnAMwara
helicopter_noun	helIkoYptara
helipad_noun	helIpEda
heliport_noun	helIporta
highway_noun	mahAmArga/rAjamArga
honorarium_noun	mAnaxeya
horn_noun	hArna/wUrya/SraMga
hotel_noun	hotala
hunting_noun	cAla_xolana/cAla_preKaNa
hurricane_noun	praBaMjana/wUPAna
hut_noun	gumatI
hyetograph_noun	varRa_cArta
hygrometer_noun	ArxrawAmApI/hAigromItara
hypersphere_noun	bahuvima_golA
icing_noun	himana
identification_noun	pahacAna/SinAKwa
illegal_noun	gEra-kAnUnI
illumination_noun	jagamagAhata/praxIpwi/prakASa-vyavasWA
immigration_noun	ApravAsa
immunity_noun	unmuikwa
impeachment_noun	mahABiyoga
impedance_noun	prawibAXA
impedence_noun	prawibAXA
impeller_noun	praNoxaka/impelara
implementation_noun	kAryAnvayana
imprest_noun	agraxAya/peSagI
improbable_noun	asaMBAviwa/asaMBava
impromptu_noun	wawkAla/binA_wEyArI_ke
impropriety_noun	anOciwya/anuciwa
improvisation_noun	kAmacalAU_vyavasWA/wAwkAlika_vyavasWA
imputation_noun	AropaNa/lAMCana
inclusion_noun	aMwarveSana/samAveSana
increaser_noun	viswAraka
increment_noun	vewana_vqxXi
incriminate_noun	aparAXa_meM_PaMsAnA
incumbent_noun	paxaXArI/paxasWa/ASrayI
indemnity_noun	kRawipUrwi
indent_noun	xanwura_cihna/iMdeMta/aXiyAcana/mAMga
indentor_noun	mAMgakarwA
indenture_noun	vileKa/xaswAveja
index_noun	anukramaNikA
indexing_noun	sUcIkaraNa/anuBAjana
india_noun	BArawa/iMdiyA
indicator_noun	sUcaka
induction_noun	preraNa
infant_noun	SiSu
inflammablet_noun	valanaSIla
informatics_noun	sUcanA_vijFAna
infrastructure_noun	AXaraBUwa_DAMcA/avasaMracanA/avasWApanA
infringement_noun	ullaMGana/awikramaNa
initials_noun	AxyakRara
initiative_noun	svapreraNA
injury_noun	kRawi
innocuous_noun	hAnirahiwa/anapakArI/nirApaxa
inr_noun	BArawIya_rupayA
insensitiveness_noun	asaMvexiwA
insertion_noun	niveSana
inspection_noun	nirIkRaNa
instability_noun	asWAyiwva
installation_noun	prasWApana/sWApanA/aXiRTApana/saMsWApana/prawiRTApana
installment_noun	kiswa
instructions_noun	anuxeSa
instruments_noun	upakaraNa-yaMwra
intake_noun	anwagrarhaNa/anwargrAhI
integrity_noun	ImAnaxArI/niRTA/sawya_niRTA
intelligence_noun	AsUcanA
intelligibility_noun	boXagamyawA
inter-se-seniority_noun	paraspara_variRTawA
interaction_noun	pArasparika_kriyA/anyonya_kriyA/anwaHkriyA
interceptometer_noun	aMwarroXanamApI
interchangeable_noun	anwaraparivarwanIya
interdependent_noun	anyonyASriwa
interest_noun	byAja
interference_noun	vyawikaraNa
interflow_noun	aMwarvAha
interim_noun	aMwarima
intermediary_noun	maXyavarwI
intermediation_noun	maXyasWawA
international_noun	aMwararARtrIya/anwarrARtrIya
interpretation_noun	nirvacana/vyAKyA/arWanirNaya/prawipAxana
interpreter_noun	xuBARiyA/vyAKyAkAra
