#administrative dictionary extracted by Shubangi. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
capacity_noun	hEsiyawa_/kRamawA_/sAmaWrya_/XAriwA
capital_noun	pUjI/mUlaXana/swaMBaSIrRa/rAjaXAnI/mqwyu_se_xaMdanIya_xIGAZkRara
captain_noun	kapwAna/kEptana
capture_noun	pakadZanA/baMxI_banAnA
cardiologist_noun	hqxayaroga_viSeRajFa
care_noun	sAvaXAnI/paravAha/xeKaBAla/raKavAlI
career_noun	vqfwwa/jIvikA/kEriyara/jIvana
caretaker_noun	keyaratekara/raKavAla/keyara_tekara
cargo_noun	jahAjZI_mAla/kAgoZ
carpenter-cum-smith_noun	baDZaI_va_luhAra
carpenter_noun	baDZaI
carriage_noun	gAdZI/vAhana/savArI_dibbA/DulAI
carrier_noun	vAhana_/vAhaka
cartage_noun	gAdZI_BAdZA/DulAI
cartographer_noun	mAnaciwrakAra/nakSAnavIla
cartoonist_noun	vyaMgya-ciwrakAra
case_noun	mAmalA/prakaraNa/fsWfAwa/viRaya/mukaxmA
cash_noun	rokada/nakaxa/nakaxI/BunAnA
cashier_noun	koRapAla
caste_noun	jAwi
caster_noun	DalAIkAra
casual_noun	Akafsmaka_aniyawa
casualties_noun	hawAhawa
casualty_noun	xuGaZtanA_Ahawa/GAyala/mqwa
catalogue_noun	sUcI/sUcIpawra
cataloguer_noun	sUcIkAra
categorical_noun	suniSciwa/suspaRta
category_noun	varga/SreNI/xajAZ/koti
caterer_noun	KAnapAna_prabaMXaka/Boja_prabaMXaka
catering_noun	Bojana_prabaMXa
caution_noun	KabaraxAra/sAvaXAna/sAvaXAnI
celebration_noun	samAroha
cell_noun	prakoRTa
censor_noun	seMsara
censure_noun	ninxA/parininxA(viXi)
census_noun	janagaNanA
central_noun	keMxrIya/keMxra
centralization_noun	keMxrIyakaraNa/keMxrIkaraNa
centre_noun	keMxra
century_noun	SawAbxI/SawI/saxI/Sawaka
ceramist_noun	mqfwwakASilpI
cereal_noun	XAnya/anAja
cerealist_noun	XAnyavix
ceremonial_noun	samAroha
ceremony_noun	samAroha_/gqhakarma
certificate_noun	pramANapawra
certification_noun	pramANana/pramANIkaraNa
certify_noun	pramANiwa_karanA/wasaxIkZa_karanA/pramANa_xenA
cess_noun	upakara
cessation_noun	samApwi
chain_noun	jaMjZIra/kadZI/jarIba/SrqMKalA
chainman_noun	jZarIbI/cenamEna
chairman/chair-pers_noun	aXyakRa/saBApawi
chairman_noun	saBApawi/aXyakRa
challan_noun	cAlAna
challandar_noun	cAlAnaxAra
challenge_noun	cunOwI_Apafwwa
chamber_noun	cembara/kakRa_/maMdala
chancellor_noun	kulAXipawi
chancery_noun	cAMsarI
change_noun	baxalanA/parivarwana
channel_noun	mAXyama/saraNi
chaos_noun	avyavasWA
chapter_noun	aXyAya/SAKA/cEptara
character_noun	cariwra
charge_noun	Aropa/cArja/praBAra/KZarca/kArya-BAra/XAvA
chargeable_noun	praBArya
charged_noun	praBAriwa_/Aropiwa
chargehand_noun	cArjahEMda/kAryAvekRaka
chargeman_noun	cArjamEna/kAryekRaka
charitable_noun	XarmArWa/KZErAwI/pUrwa_(viXi)
charity_noun	XarmAxA/KZErAwa
chart_noun	cArta/saMciwra
charter_noun	BAdZe_para_lenA/cArtara
chaser_noun	cejZara
cheating_noun	Cala/Cala_karanA
check_noun	padZawAla/jAca/roka/milAna_karanA
checker_noun	padZawAlakarwA/cekara
chemist_noun	rasAyanajFa_kEmista/ORaXavyavasAyI
cheque_noun	cEka
chest_noun	wijorI
chief_noun	muKya
chorus_noun	vqMxagAna
chowkidar_noun	cOkIxAra
chronic_noun	jIrNa/cirakAlika/cirakArI
chronology_noun	kAlakrama
circle_noun	maMdala/safrkala/halakZA
circular_noun	paripawra/gaSwI_citTI
circulation_noun	paricAlana
circumstances_noun	parisWiwiyA
citation_noun	uxXaraNa_/praSaswi
citizenship_noun	nAgarikawA
city_noun	nagara/Sahara
civil_noun	sivila/nAgarika/asEnika/xIvAnI
claim_noun	xAvA/xAvA_karanA
claimant_noun	xAvI/xAvexAra
clarification_noun	spaRtIkaraNa
class_noun	varga/xajAZ/klAsa/kakRA/SreNI
classwise_noun	vargavAra/SreNIvAra
clause_noun	KaMda
cleaner_noun	klInara
clearance_noun	samASoXana(bEMkiMga)/nikAsI/anumawi
