#it dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a-transducer_noun	e_trAMsdyUsara
handle_noun	mUTa/hEMdala/hawWA
hang_noun	nilaMbana
hard-wired_noun	yaMwrasWa
hash_noun	xruwAnveRaNa
hat_noun	topI
having_noun	raKanA
header_noun	hEdara/praveSikA
heap_noun	puMja/Dera
height_noun	UMcAI
hello_noun	helo
help_noun	sahAyawA
hertz_noun	hartajZa
heterogeneity_noun	viRamAMgawA
heterogeneous_noun	viviXa/viRamAMgI
heuristic_noun	anumAnI
hexadecimal_noun	RodaSa_AXArI
hightness_noun	MUEYMcAI/uccawA
hit_noun	prApwi_samBAvanA
homogeneous_noun	samAMgI
homomorphism_noun	samarUpawA
hop_noun	hoYpa
horn_noun	hoYrna
host_noun	poRaka
hotbot_noun	hoYtavAta
hypercube_noun	awivima
hypothesis_noun	parikalpanA
identical_noun	samarUpa/waxrUpa
identifier_noun	parijFApaka
identity_noun	wawsamaka/vyaRtiwva/sarvasamikA
image_noun	prawibiMba
impedence_noun	prawibAXA
in-fix_noun	awa:_lagna
inclusion_noun	aMwaverSana
inconsistency_noun	asNaMwawA
increment_noun	vqxXi
indent_noun	inateMda
index_noun	sUcaka
informatics_noun	sUcanA_vijFAna
information_noun	sUcanA
inheritance_noun	vaMSAnukrama/vaMSAnugawawA/vaMSAgawi
initial_noun	AraMBika/prAWamika/Axima
initialization_noun	AraMBIkaraNa/prAAraMMBikIkaraNa
innumerable_noun	asaMKya
insert_noun	niveSa/niveSana
instance_noun	xqRtAMwa
instruction_noun	anuxeSa
integrator_noun	samakalaka/samAkalaka
integrity_noun	sawyaniRTA/aKaMdawA
interaction_noun	anayonyakriyA
interface_noun	aMwarAPalaka
interleave_noun	anwa:pawraNa_karo
interleaving_noun	aMwagraMWana/aMwa:pawraNa
internet-draft_noun	iMtaraneta_drAPta
internet_noun	aMwarAjAla/iMtaraneta
internetworking_noun	parisaMcAlana
interpolation_noun	anwaverSana
interpret_noun	vivecaka
interpretability_noun	vivecanIyawA
interpretation_noun	vivecanA
interpreter_noun	anuxeSAMwaraka
interpretor_noun	smarakaaMwara
interprocedural_noun	aMwara_prakriyAwmaka
interrupt_noun	anwarAyaka
interruption_noun	anwarAyana
intersect_noun	prawicCexa
intersection_noun	prawicCexana/aMwa:prawicCexana
intractability_noun	xu:sAXyawA
intractable_noun	xu:sAXya
intranet_noun	aMwa:jAla/iMtrAneta
invariant_noun	aparivarwanIya
inverter_noun	aMrwavarwaka
investigation_noun	joYMca
investors_noun	niveSaka
invoke_noun	AhvAna
ionosphere_noun	AyanosPeyara
irreflexive_noun	asvawulya
irrelevance_noun	asaMgawi
isdn_noun	AI_esa_dI_ena
iso_noun	AI_esa_o
isolators_noun	vilagaka
isomorphism_noun	samAkAriwA
item_noun	maxa
iteration_noun	punarAvarwana
iterator_noun	punarAvarwaka
java_noun	jAvA
job_noun	kArya/joYba
join_noun	sammilana
journal_noun	pawrikA
jpg_noun	jepIjI_(PotogrAPI_grupa)
judgement_noun	Akalana/nirNaya
jump_noun	jampa
jumper_noun	jampara
junctions_noun	saMgama
junk_noun	kabAdZa
jupiter_noun	jupItara/bqhaspawi
justification_noun	Ociwya
k_noun	kebI
kb_noun	ke_bI
kbytes_noun	kilobAIta
key-driven_noun	kuMjI_caliwa
key_noun	kuMjI
keyboard_noun	kuMjIpatala/kIborda
kick_noun	kika/Tokara
kill_noun	haMwa
kilo_noun	kilo
kilobit_noun	kilo_bita
kilobyte_noun	kilobAita
kiosk_noun	kyoska/KokA
knots_noun	goYMTa
knowledge_noun	jFAna
language_noun	BARA
laptop_noun	lEpatoYpa
lasers_noun	lejZara
latch_noun	sitakinI
latency_noun	prasupwi/vilaMbawA
lattice_noun	jAlaka
layer_noun	parawa
layout_noun	KZAkA
lcon_noun	AikoYna
leadership_noun	newqwva
leaf_noun	parNa
learning_noun	aXigama
led_noun	ela_I_dI
left-factoring_noun	vAma_guNana
lemma_noun	premayikA_lemA
lens_noun	leMsa
letter_noun	akRara
level_noun	swara
levity_noun	laGuwA/halkApana
lexeme_noun	Saibxama
lexicographic_noun	Sabxa_koSa_sambaXI/koRagawa
lexicon_noun	Sabxa_koSa
liberalization_noun	uxArIkaraNa
librarian_noun	lAibreriyana
library_noun	lAibrerI_saMgraha
lightness_noun	halkApana
limiter_noun	sImaka
linearity_noun	rEKikawA
link_noun	kadZI
linker_noun	saMyojaka/SrqMKalaka
linux_noun	linaksa
lisp_noun	lispa
list_noun	sUcI
literal_noun	AkRara/SAibxaka
load_noun	BAra/BaraNa
loading_noun	BAraNa/BaraNa
local_noun	sWAnIya
locate_noun	sWAna_nirXAraNa
lock_noun	pASa/loYka
locking_noun	pASana
logging_noun	pracAleKana
logical_noun	wArkika
loop_noun	lUpa/pASa
looping_noun	pASana/lUpiMga
lsb_noun	ela_esa_bI
lsi_noun	ela_esa_AI
machine_noun	yaMwra/maSIna
macroargument_noun	sWUla_prAcara
macrocall_noun	sWUla_AhvAna
macrocoding_noun	sWUla_kUtaleKana/sWUla_kodana
macroelement_noun	sWUla_avayava
macroexerciser_noun	sWUla_aBAsI/sWUla_parIkRaka
macroexpansion_noun	sWUla_prasAra
macroflowchart_noun	sWUla_pravAha_saMciwra
macrogeneration_noun	sWUla_janana
macroparameter_noun	sWUla_prAcala
