#computer science dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
reconstitution_noun	racanA/punargaTana
reconstruction_noun	punargaTana/punarracanA
recurrence_noun	punarAvqwwi
recursion_noun	punarAvarwana
redact_noun	niveSa_saMpAxana
redaction_noun	saMSoXiwa_niveSa_saMskaraNa
redundancy_noun	awirikwawA
reenlargement_noun	punarvarXana
reference_noun	nirxeSa/saMxarBa
refile_noun	punassaMcikAyana
reflectance_noun	parAvarwakawA
reformat_noun	punaH_saMrUpaNa
refresh_noun	punaScaryA/punarjanana
regeneration_noun	punarjanana/punaryojana
register_noun	paMjI
relay_noun	rile/prawisAraNa
release_noun	mocana
reliability_noun	viSvasanIyawA
remote_noun	suxUra
reorder_noun	punarAxeSa
