#electrical dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
electroplating_noun	vixyuwalepana
electrostatic_noun	ilektrostetika/sWira_vExyuwa
element_noun	wawva/Gataka/avayava
elementary_noun	prAraMBika
elevation_noun	uwWAna/unnayana/uwWApana/uccawA/UzcAI
elevator_noun	uwWApaka/elIvetara/liPta
eliminate_noun	vilopa_karanA
elliptical_noun	xIrGavqwwAkAra
elongation_noun	xIrGIkaraNa
embankment_noun	watabaMXa
embargo_noun	niReXa/prawibaMXa/roka
embedded_noun	aMwaH_sWApiwa
emerge_noun	nirgamana
emissivity_noun	uwsarjakawA
empanel_noun	nAmasUcI/sUcIbaxXa_karanA
employer_noun	niyojaka/niyokwA
empower_noun	aXikAra_xenA/Sakwi_xenA
empowerment_noun	saSakwikaraNa
emulsion_noun	imalSana/pAyasa
encapsulate_noun	saMputiwa_karanA
encashment_noun	nakaxIkaraNa
enclosure_noun	anulagnaka/saMlagnaka/ahAwA
encumbrance_noun	BAragraswa
end_noun	aMwa/sirA
endorsement_noun	pqRTAMkana
endurance_noun	sahanaSakwi
energisation_noun	UrjAyana/UrjIkaraNa
energized_noun	Urjiwa
energy_noun	UrjA
enforce_noun	pravarwana/lAgU_karanA
engineering_noun	iMjIniyarI/aBiyAMwrikI
enhance_noun	vqxXi
enlargement_noun	parivarXana
enlist_noun	sUcIbaxXa_karanA
enquiry_noun	jAzca/pUCawACa
ensuing_noun	AgAmI
ensure_noun	suniSciwa_karanA
enter_noun	praveSa
enterpreneur_noun	uxyamI
enterprise_noun	uxyama
enthalpy_noun	enWElpI
entitlement_noun	hakaxArI
entrap_noun	PaMsanA
entries_noun	praviRtiyAM
entropy_noun	entroYpI
enumeration_noun	gaNanA/ginanA
environment_noun	paryAvaraNa
envisage_noun	parikalpanA
envisaged_noun	parikalpiwa
equal_noun	sama/barAbara
equilibrium_noun	sAmya
equip_noun	sajjiwa_karanA
equipment_noun	upaskara
equitable_noun	sAmyika
equity_noun	ikvitI/aMSapUjIM
equivalent_noun	samakakRa/samawulya/wulyamAna/wulya
eradication_noun	unmUlana
erection_noun	uwWApana
erosion_noun	kAta/katAva/aparaxana
error_noun	wruti
escalation_noun	vqxXi/baDZowarI
escape_noun	bacAva/palAyana
essential_noun	AvaSyaka/jarUrI/anivArya
establishment_noun	sWApanA/prawiRTAna
estimate_noun	anumAna/prAkkalana
ethernet_noun	IWaraneta
ethical_noun	nEwika/nIwiparaka
evaluation_noun	mUlyAMkana
evaporation_noun	vARpana
evaporator_noun	vARpiwra
eventual_noun	saMBAviwa/anwawaH
evidence_noun	sAkRya/gavAhI
evolution_noun	vikAsa
evolve_noun	vikasiwa_karanA_yA_honA
ex-gratia_noun	anugraha_rASi
ex-officio_noun	paxena
ex-serviceman_noun	BUwapUrva_sEnika
examination_noun	parIkRA
examine_noun	jAzca_karanA
excavated_noun	uwKaniwa
excavation_noun	uwKanana/KuxAI/Kanana
excellence_noun	uwkqRtawA
excellent_noun	uwkqRta
exception_noun	apavAxa
exceptional_noun	apavAxa_svarUpa/asAXAraNa
excess_noun	awirikwa/aXika
excessive_noun	awyaXika
exchange_noun	vinimaya/AxAna-praxAna/axalA-baxalI
exchanger_noun	vinimayaka
excitation_noun	uwwejana
exciter_noun	uwwejaka/uwwejiwra
exclusive_noun	ananya/ekamAwra
executant_noun	niRpAxaka
execute_noun	niRpAxana_karanA
executor_noun	niRpAxaka
exempt_noun	CUta_xenA
exhaust_noun	niRkAsana/recana/recaka/niRkAsaka
exhaustive_noun	sarvAMgINa/vyApaka
exhibition_noun	praxarSanI/numAiSa
existence_noun	aswiwva
existing_noun	varwamAna/vixyamAna/mOjUxA/pracaliwa
exit_noun	nirgama/nikAsa
exonerated_noun	Aropamukwa
expansion_noun	prasAra/viswAra/PElAva
expectation_noun	prawyASA
expected_noun	prawyASiwa
expedite_noun	SIGra_kArravAI_karanA/SIGra_nipatAna
expel_noun	nikAla_xenA/niRkAsiwa_karanA
expenditure_noun	vyaya/Karca
expenses_noun	vyaya/Karca
experience_noun	anuBava
experiment_noun	prayoga
experimental_noun	prAyogika/prayogAwmaka
expert_noun	viSeRajFa
expertise_noun	viSeRajFawA/nipuNawA
explanation_noun	spaRtIkaraNa
explosion_noun	visPota
explosive_noun	visPotaka
exposure_noun	anAvaraNa/praBAvana/uxBAsana
extend_noun	baDZAnA/viswAra_karanA/praxAna_karanA
extendable_noun	viswAra_yogya
extension_noun	viswAra
extent_noun	viswAra/sImA
exterpleader_noun	eksataraplIdara
extinguisher_noun	SAmaka
extract_noun	sAra
extraction_noun	niRkarRaNa
extrapolation_noun	bahirvaSana/bahirke_lana
extreme_noun	carama
fabrication_noun	saMviracana
face_noun	muKa/Palaka/pahalU/agraBAga
facilitate_noun	susAXya_banAnA
fact-finding_noun	waWyAnveRaNa
fact_noun	waWya/waWyapUrNa
factor_noun	Gataka/upAxAna/kAraka/KaMda/guNanaKaMda/guNaka
failure_noun	viPalawA/KarAbI/BaMga
fake_noun	nakalI/jAlI
fasten_noun	xqDZa_karanA/bAMZ_XanA
fastener_noun	baMXaka
fastening_noun	baMXana/baMXaka
faulty_noun	xoRa_pUrNa/KarAba
fauna_noun	prANijagawa
favourable_noun	anukUla
feasibility_noun	saMBAvyawA
feature_noun	viSeRawA/lakRaNa
feed_noun	BaraNa
feeder_noun	Baraka/PIdara/praxAyaka/saMBaraka
fencing_noun	jaMgalA/bAdZa
ferrite_noun	PErAita
ferrule_noun	PerUla
fibre_noun	reSA/waMwu/sUwra
fibrous_noun	reSexAra/waMwumaya
fictitious_noun	JUTA/kAlpanika/ParjI/kalpiwa
field_noun	kRewra
