#TODO ::	Hindi meaning spellings need to be checked
#Giving category as 'UNKNOWN' for the words whose category is not known
#######################################################################
#Eng-wrd_Category	IIT-Bombay/Shabdanjali meaning
########################################################################
A_noun	e
Headquarters_noun	muKyAlaya
Heavens!_INDC	vAha!
Heisenberg_noun	hAijZanabarga
Hephaestus_noun	hiPZEstasa
Hephaistos_noun	hiPZEstasa
Her-majesty_noun	mahArAnI
Herbicide_noun	pOXanASaka_paxArWa
Hesperian_adjective	paScimI
Hesperus_noun	Sukra_graha
Hestia_noun	hestiyA
High-church_adjective	iMgalEMda_kA_girajAGara_jo_rIwi/biSapa/Axi_para_jora_xewA_hE
High-commission_noun	uccAyoga
High-commissioner_noun	uccAyukwa
Highland_adjective	skatalENda_kA_parvawIya
Highness_noun	rAjaGarAne_kI_upAXi
Himalaya_noun	himAlaya
Himalayas_noun	himAlaya
Hindi_adjective	hiMxI
Hindi_noun	hiMxI/hinxI
Hindu_adjective	hiMxU
Hindu_noun	hiMx/BArawIya
Hinduism_noun	hinxuwva/hiMxU_Xarma/hinxuwva
His-majesty_noun	mahArAjA
Hispanic_adjective	spenI
Hispanic_noun	spenI
Holland_noun	halEMda
Hollywood_noun	halIvuda
Holstein_noun	PZrIjZana_gAya
Homer_noun	homara
Hoover_noun	nirvAwa_mArjaka/hUvara
Hugo_noun	hyUgo
Hungarian_adjective	haMgeriyAI
Hungarian_noun	haMgeriyAII/haMgarIvAsI
Hungary_noun	haMgarI
I_adjective	I/eka
I_noun	AI
I_number	I
I_pronoun	muJe/mEM/mEz{sarvanAma}
IBM_noun	Ai_bI_ema/eka_bahu_rARtrIya_kaMpanI
IBRD_noun	punarnirmANa_evaM_vikAsa_aMwarrARtrIya_bEMka
ICT_noun	Ai_sI_tII
ICU_noun	awixakRawA_viBAga
ID_noun	pahacAna-pawra
II_number	II
III_number	III
IL_noun	unacAsa
IMF_noun	aMwarrARtrIya_viwwIya_niXi/International_monetary_fund
IQ_noun	bOxXika_swara
ITU_noun	AI_tI_yU
ITU-R_noun	AI_tI_yU_-_Ara
ITV_noun	AI_tI_vI
IUD_noun	aMwargarBASayI_yaMwra
IXL_noun	unawAlIsa
Ibrahim_noun	ibrAhima
Ice-Pick_noun	barPa_ko_wodZane_kA_OjZAra
Imam_noun	imAma
Imprecation_noun	aBicAra
Impressionism_noun	praBAvavAxa
Impressionist_adjective	praBAvavAxI
Impressionist_noun	praBAvavAxI_ciwrakAra
In-motion_adjective	calAyamAna/calAnA
In-the-arms-of-morpheus_noun	unIMxA/nixriwa
In-the-morning_noun	subaha
Inc._adjective	nigamiwa
Indelicate_adjective	rUKA/aBaxra
India_noun	BArawa
Indian_adjective	BArawIya/BArawa_saMbaMXI
Indian_noun	BArawIya/BArawa_vAsI
Indo_adjective	BArawIya-
Indo-European_adjective	BArawa-yUropIya
Indonesia_noun	iMdoneSiyA
Indra_noun	inxra/iMxra
Infuriating_adjective	kroXiwa_karane_vAlA
Ingratiate_verb	anugraha_prApwa_karanA
Innovative_adjective	navapravarwanaSIla
Instrumental-music_noun	vAxya_saMgIwa
Inuit_noun	inUita_BARA/inUita
Ipswich_noun	ipsavica
Iran_noun	IrAna
Irani_noun	IrAnI
Iranian_adjective	IrAnI/IrAna_kA
Iranian_noun	IrAnI_BARA/IrAnI/IrAna_vAsI
Iraq_noun	IrAka
Iraqi_adjective	IrAkZa_saMbaMXI/IrAkI
Iraqi_noun	IrAkZa_vAsI/IrAkI_BARA/IrAka_vAsI
Ireland_noun	AyaralEMda
Irish_adjective	AyaralEMda_saMbaMXI/AyaralEMda_kA/AyaralEMda_ke
Irish_noun	AyariSa/AyaralENdavAsI/AyaralEMdavAsI
Irishman_noun	AyaralEMda_nivAsI_purURa
Irishwoman_noun	AyaralEMda_nivAsI_mahilA
Irving_noun	arviMga
Islam_noun	musalamAna/isalAma/islAma
Islamic_adjective	islAmI
Israel_noun	ijZarAila
Israeli_adjective	ijZarAila_saMbaMXI
Israeli_noun	ijZarAila_vAsI
Italian_adjective	italI_saMbaMXI
Italian_noun	iwAlavI_BARA/italI_vAsI
Ithaca_noun	iWAkA
Ithaki_noun	iWAkI
JP_noun	nyAyAXISa
Jacobean_adjective	jemsa_praWama_kAlIna/rAjA_jemsa_kA_SAsanakAla{IMglEMda-1603-25}
Jacuzzi_noun	Kanija_jalIya_snAna-taba/bahuwa_badZA_snAnagqha
Jahvey_noun	jAhve
Jahweh_noun	jAhve
Jan_noun	janavarI
January_noun	janavarI
Japan_noun	jApAna
Japanese_adjective	jApAnI
Japanese_noun	jApAnI/jApAnavAsI
Jehovah_noun	jihovA/bAIbala_meM_ISvara_kA_nAma
Jersey_noun	eka_nasla_kI_gAya_jo_aXika_xUXa_xewI_hE
Jesuit_noun	jejZuita/IsA_masIha_kI_royala_keWolika_samAja_kA_saxasya
Jesus_noun	IsA_masIha
Jew_noun	yahUxI
Jewess_noun	yahUxI_mahilA
Jewish_adjective	yahUxI
Jewry_noun	yahUxI_samuxAya
Jiffy-bag_noun	pArasala_karane_hewu_bEga
Jnr_adjective	kniRTa
Johnny-jump-up_noun	jaMgalI_pEMjZI
Jordan_noun	jardana
Jr_adjective	kniRTa
Judaic_adjective	yahUxIvAxa_saMbaMXI
Judaical_adjective	yahUxIvAxa_saMbaMXI
Judaism_noun	yahuxI_Xarma
Judas_noun	viSvAsaGAwI/jUdasa/XoKebAja
Juglandaceae_noun	kARTaPala_vaMSa
Jugoslavija_noun	yUgoslAviyA
Jul._noun	julAI
July_noun	julAI
Jun._noun	jUna
June_noun	jUna/jUna{sAla_kA_CatA_mahInA}
Junior_adjective	kniRTa
Juniper_noun	jUnipara
Jupiter_noun	bqhaspawi
K_noun	kelvina/ke/eka_hajZAra
KC_noun	rAj-aXivakwA/rAjasaBA
KO_noun	acewa_kara_xene_vAlA_prahAra/acewa_honA
KW_noun	kilovata
Keep-sth-in_verb	rokakara_raKanA
Kellog_noun	kelOga
Kellogg_noun	kelOga
Kelvin_noun	kelvina
Kenya_noun	kenyA
Kitemark_noun	pawaMga_cinha
Klaxon_noun	BoMpU
Kleenex_noun	kAgajZa_kA_rumAla
Koran_noun	kurAna
Koranic_adjective	kurAna_saMbaMXI
Korea_noun	koriyA
Korean_adjective	koriyAI
Korean_noun	koriyA_vAsI/koriyAI_BARA
Kr_noun	kriptana
Kremlin_noun	kremlina/rUsI_sarakAra_kA_kilA
Kumbha_noun	kuMBa
Kuwait_noun	kuvEwa
L_noun	pacAsa
L-plate_noun	ela-pleta
LAN_noun	sWAnIya_kRewra_waMwra
LC_noun	ela_sI
LCD_noun	laGuwwama/ela_sI_dI
LI_noun	iMkyAvana
LII_noun	bAvana
LIII_noun	wrepana
