niyamoM_kA_pAlana_karawe_hue	niyamoM_kA_pAlana_karawe_hue
sAPa_kara	sAPa
sAPa_kara	sAPa
corI_kara	corI
sAPa_karane_vAlA	sAPa_karane_vAlA
SoXana_kara	SoXana
SoXana_karanevAlA	SoXana_karanevAlA
sAPa_kara	sAPa
nikAsa_kara	nikAsa
cukawA_kara	cukawA
pAra_kara	pAra
xviKaMdiwa_kara	xviKaMdiwa
klika_kara	klika_kara
klika_kara	klika_kara
ArohaNa_kara	ArohaNa
unnawi_kara	unnawi
prApwa_kara_le	prApwa_kara_lenA
tana-tana_AvAjZa_kara	tana-tana_AvAjZa
Xvani_kara	Xvani
banxa_kara	banxa
AliMgana_kara	AliMgana
AliMgana_kara	AliMgana
AliMgana_kara	AliMgana
samApwa_kara	samApwa
banxa_kara	banxa
mUrKawApUrNa_vyavahAra_kara	mUrKawApUrNa_vyavahAra
kudZakudZAne_kI_AvAjZa_kara	kudZakudZAne_kI_AvAjZa
Xama-Xama_karane_kA_calana	Xama-Xama_karane_kA_calana
aswa-vyaswa_kara	aswa-vyaswa
marammawa_kara	marammawa
KadZA_kara	KadZA
sAvaXAnI_se_xeKaBAla_kara	sAvaXAnI_se_xeKaBAla
majabUra_kara	majabUra
jabaraxaswI_kara	jabaraxaswI
gahana_cinwana_kara	gahana_cinwana
PAyaxA_kara	PAyaxA
sahayoga_kara	sahayoga
xeSaxroha_kara	xeSaxroha
giraPwAra_kara	giraPwAra
saBI_jagaha_se_sUcanA_ekawra_kara	saBI_jagaha_se_sUcanA_ekawra
saMgrahIwa_kara	saMgrahIwa
caMxA_ikatTA_kara	caMxA_ikatTA
saMgraha_karane_yogya	saMgraha_karane_yogya
sAmUhika_kara_xe	sAmUhika_kara_xenA
koyale_kI_KAna_me_kAma_karanevAlA	koyale_kI_KAna_me_kAma_karanevAlA
sAWa_meM_prayoga_kara	sAWa_meM_prayoga
svayaM_se_bAwa_kara	svayaM_se_bAwa
kaMGI_kara	kaMGI
viroXa_kara	viroXa
yAwrA_kara	yAwrA
eka_niSciwa_sWAna_gqhaNa_kara	eka_niSciwa_sWAna_gqhaNa
praSna_meM_prayoga_kara	praSna_meM_prayoga
aBinaya_kara	aBinaya
1kAmowwApa_kara	1kAmowwApa
prowsAhana_kara	prowsAhana
bahuwa_ninxA_kara	bahuwa_ninxA
AkramaNa_kara	AkramaNa
sahAyawA_praxAna_kara	sahAyawA_praxAna
SAsana_kara	SAsana
kisI_uwsava_xvArA_smaraNa_karanA/manA	kisI_uwsava_xvArA_smaraNa_karanA/manAnA
praSaMsA_kara	praSaMsA
barAbara_kara	barAbara
tIkA-tippaNI_kara	tIkA-tippaNI
kisI_para_xayA_kara	kisI_para_xayA
aXikAra_xenA/niyukwa_kara	aXikAra_xenA/niyukwa
samarpaNa_kara	samarpaNa
vAxA_kara	vAxA
bAwacIwa_karane_evaM_samparka_raKane_ke_IcCuka	bAwacIwa_karane_evaM_samparka_raKane_ke_IcCuka
yAwrA_kara	yAwrA
rUpAMwariwa_kara	rUpAMwariwa
wulanA_kara	wulanA
vivaSa_kara	vivaSa
barAbarI_kara	barAbarI
saMkalana_karanA/saMgraha_kara	saMkalana_karanA/saMgraha
SikAyawa_kara	SikAyawa
pUrA_kara	pUrA
praSaMsA_kara	praSaMsA
anupAlana_kara	anupAlana
pAlana_kara	pAlana
XErya_XAraNa_kara	XErya_XAraNa
saMkRepa_kara	saMkRepa
samAviRta_karanA/sammiliwa_kara	samAviRta_karanA/sammiliwa
samaJOwA_kara	samaJOwA
gaNanA_kara	gaNanA
kalpanA_kara	kalpanA
samAhqwa_kara	samAhqwa
cinwiwa_kara	cinwiwa
SAnwa_kara	SAnwa
pUrA_kara	pUrA
niSciwa_kara	niSciwa
anumAna_kara	anumAna
milA_kara_pakA	milA_kara_pakAnA
CotA_kara	CotA
oCA_kAma_karane_ke_lie_rAjZI_ho	oCA_kAma_karane_ke_lie_rAjZI_ho
Soka_prakata_kara	Soka_prakata_kara
mAPa_karanA/CodZa_xenA/XyAna_na_xe	mAPa_karanA/CodZa_xenA/XyAna_na_xenA
sAWa_meM_kAma_karanevAlA	sAWa_meM_kAma_karanevAlA
parAmarSa_kara	parAmarSa
praxAna_kara	praxAna
xoRa_svIkAra_kara	xoRa_svIkAra_kara
aMgIkAra_kara	aMgIkAra
sImAbaxXa_kara	sImAbaxXa
pakkA_kara	pakkA
jZabwa_kara	jZabwa
viroXa_kara	viroXa
ekamela_kara	ekamela
hakkA-bakkA_kara	hakkA-bakkA
sAmanA_kara	sAmanA
anumAna_kara	anumAna
jAxU_kara	jAxU
kisI_ke_sAWa_milakara_avEXa_kArya_kara	kisI_ke_sAWa_milakara_avEXa_kArya
upekRA_kara	upekRA
kisI_ke_sAWa_milakara_avEXa_kArya_kara	kisI_ke_sAWa_milakara_avEXa_kArya
arWa_sUciwa_kara	arWa_sUciwa
arpaNa_kara	arpaNa
vicAra_kara	vicAra
XyAna_meM_raKa_kara	XyAna_meM_raKa_kara
arpaNa_kara	arpaNa
mela_kara	mela
vivaSa_kara	vivaSa
kAma_meM_lAnA/vyaya_kara	kAma_meM_lAnA/vyaya
pUrA_kara	pUrA
samparka_sWApiwa_kara	samparka_sWApiwa
atAnA/XAraNa_kara	atAnA/XAraNa
sammiliwa_kara	sammiliwa
aSuxXa_kara	aSuxXa
vicAra_kara	vicAra
vivAxa_kara	vivAxa
mukAbalA_karane_vAlA	mukAbalA_karane_vAlA
sanwuRta_kara	sanwuRta
mukAbalA_kara	mukAbalA
warka_kara	warka
karAra_kara	karAra
viroXa_kara	viroXa
prawivAxa_kara	prawivAxa
vyawireka_kara	vyawireka
kAnUna_kA_ullaMGana_kara	kAnUna_kA_ullaMGana
sahAyawA_karanA/caMxA_xe	sahAyawA_karanA/caMxA_xenA
KaNdana_kara	KaNdana
svAsWyalABa_kara	svAsWyalABa
Ayojana_kara	Ayojana
ekawra_kara	ekawra
vArwAlApa_kara	vArwAlApa
Xarma_parivarwana_kara	Xarma_parivarwana
viSvAsa_karavA	viSvAsa_karavA
kUM_kUM_kara	kUM_kUM
TaNdA_kara	TaNdA
kroXa_TaNdA_kara	kroXa_TaNdA
xadZabe_meM_baMxa_kara	xadZabe_meM_baMxa
marammawa_karanA/jodZa_xe	marammawa_karanA/jodZa_xenA
saMyojana_kara	saMyojana
sAmanA_kara	sAmanA
saMyugmana_kara	saMyugmana
aBimAnI_vyakwi_kA_nakala_kara	aBimAnI_vyakwi_kA_nakala
nakala_karane_vAlA	nakala_karane_vAlA
AScarya_prakata_karane_vAlI_Xvani	AScarya_prakata_karane_vAlI_Xvani
peya	peya
kama_iswemAla_karane_vAlA	kama_iswemAla_karane_vAlA
apamqwyu_kA_kAraNa_jFAwa_karanevAlA_aPZasara	apamqwyu_kA_kAraNa_jFAwa_karanevAlA_aPZasara
TIka_karanA/SoXa	TIka_karanA/SoXanA
saMSoXana/prawikAra_karane_vAlA	saMSoXana/prawikAra_karane_vAlA
puRta_kara	puRta
puRta_karane_vAlA	puRta_karane_vAlA
niyamoM_kA_anusaraNa_na_karanevAlA	niyamoM_kA_anusaraNa_na_karanevAlA
BraRta_kara	BraRta_kara
KUba_lAdZa_pyAra_kara	KUba_lAdZa_pyAra
mAna_kara	mAna
BarosA_kara	BarosA
anumoxana_kara	anumoxana
viroXa_kara	viroXa
prawikriyA_kara	prawikriyA
prawyAkramaNa_kara	prawyAkramaNa
wulya_BAra_kara	wulya_BAra
jAlasAjZI_kara	jAlasAjZI
